2252 - 6074 | diff: 3822
2252 - 6074 | diff: 3822
2252 - 6075 | diff: 3823
2252 - 6074 | diff: 3822
2252 - 6069 | diff: 3817
2252 - 6069 | diff: 3817
2252 - 6068 | diff: 3816
2252 - 6068 | diff: 3816
2252 - 6068 | diff: 3816
2252 - 6068 | diff: 3816
2251 - 6069 | diff: 3818
2250 - 6071 | diff: 3821
2249 - 6071 | diff: 3822
2246 - 6071 | diff: 3825
2243 - 6071 | diff: 3828
2240 - 6071 | diff: 3831
2239 - 6071 | diff: 3832
2239 - 6071 | diff: 3832
2239 - 6070 | diff: 3831
2239 - 6068 | diff: 3829
2239 - 6068 | diff: 3829
2234 - 5906 | diff: 3672
1992 - 5906 | diff: 3914
1762 - 5788 | diff: 4026
1601 - 5543 | diff: 3942
1482 - 5369 | diff: 3887
1373 - 5320 | diff: 3947
1310 - 5287 | diff: 3977
1324 - 5294 | diff: 3970
1344 - 5346 | diff: 4002
1411 - 5407 | diff: 3996
1495 - 5449 | diff: 3954
1556 - 5529 | diff: 3973
1819 - 5787 | diff: 3968
2081 - 5990 | diff: 3909
2322 - 6167 | diff: 3845
2517 - 6277 | diff: 3760
2651 - 6355 | diff: 3704
2729 - 6349 | diff: 3620
2698 - 6303 | diff: 3605
2628 - 6262 | diff: 3634
2563 - 6221 | diff: 3658
2517 - 6213 | diff: 3696
2515 - 6198 | diff: 3683
2436 - 6156 | diff: 3720
2369 - 6117 | diff: 3748
2323 - 6102 | diff: 3779
2315 - 6091 | diff: 3776
2305 - 6073 | diff: 3768
2300 - 6067 | diff: 3767
2296 - 6063 | diff: 3767
2293 - 6059 | diff: 3766
2292 - 6052 | diff: 3760
2290 - 6050 | diff: 3760
2288 - 6045 | diff: 3757
2287 - 6040 | diff: 3753
2287 - 6017 | diff: 3730
2287 - 6022 | diff: 3735
2287 - 6027 | diff: 3740
2287 - 6026 | diff: 3739
2287 - 6027 | diff: 3740
